scientific_name,µhab_surf,µhab_subsurf,µhab_soil
Ambispora fennica,1,1,1
Ambispora gerdemannii,1,1,1
Archaeospora sp. PODO7.3,1,1,1
Archaeospora trappei,1,1,1
Palaeospora spainiae,1,1,1
Archaeosporales,1,1,1
Diversispora,1,1,1
Diversispora varaderana,1,1,1
Diversisporaceae,1,1,1
Cetraspora nodosa,1,1,1
Gigasporaceae,1,1,1
Scutellospora alterata,1,1,1
Diversisporales,1,1,1
Claroideoglomus claroideum,1,1,1
Funneliformis mosseae,1,1,1
Glomus,1,1,1
Glomus invermaium,1,1,1
Glomus sp. 9 SUN-2011,1,1,1
Glomeraceae,1,1,1
Rhizophagus,1,1,1
Rhizophagus intraradices,1,1,1
Septoglomus,1,1,1
Glomerales,1,1,1
Glomeromycetes,1,1,1
Paraglomus,1,1,1
Paraglomus brasilianum,1,1,1
Viridiraptoridae,0,1,1
Capsellina sp. ATCC 50039,0,1,1
Pseudochilodonopsis sp. 3 WS-2013,0,1,1
Orciraptor agilis,0,1,1
Plectidae,0,1,1
Plectus,0,1,1
Plectus aquatilis,0,1,1
Rhabdolaimus,0,1,1
Prodesmodora circulata,0,1,1
Eumonhystera,0,1,1
Acrobeles sp.,0,1,1
Acrobeloides,0,1,1
Cephalobus persegnis,0,1,1
Eucephalobus striatus,0,1,1
Cephalobidae,0,1,1
Panagrolaimus sp. PS443,0,1,1
Mesorhabditis sp. 334Meso1,0,1,1
Rhabditis,0,1,1
Metateratocephalus,0,1,1
Teratocephalus terrestris,0,1,1
Alaimus,0,1,1
Amphidelus cf. pusillus 9 Mile 3-17 LP-02,0,1,1
Alaimidae,0,1,1
Bastiania,0,1,1
Bastiania gracilis,0,1,1
Isolaimium multistriatum,0,1,1
Prismatolaimus,0,1,1
Prismatolaimus cf. dolichurus JH-2004,0,1,1
Allovahlkampfia,0,1,1
Bodo,0,1,1
Neobodo designis,0,1,1
Leptomyxa sp. AS-2016b,0,1,1
Leptomyxida,0,1,1
Obertrumia georgiana,0,1,1
Leptomyxa reticulata,0,1,1
Amphimallon solstitiale,1,1,0
Aphodius johnsoni,1,1,0
Melolonthinae,1,1,0
Ascobolus,1,1,1
Ascobolus stercorarius,1,1,1
Saccobolus dilutellus,1,1,1
Thecotheus holmskjoldii,1,1,1
Iodophanus carneus,1,1,1
Cheilymenia stercorea,1,1,1
Bolbitius vitellinus,1,1,1
Panaeolus,1,1,1
Cenarchaeum symbiosum,1,1,1
Nitrosopumilaceae,1,1,1
uncultured Candidatus Nitrosopumilus sp.,1,1,1
Candidatus Nitrosocosmicus,1,1,1
Nitrososphaeraceae,1,1,1
Candidatus Nitrososphaera gargensis,1,1,1
Nitrososphaera,1,1,1
uncultured Nitrososphaera sp.,1,1,1
Methanomassiliicoccus sp. 138,1,1,1
Methanomassiliicoccus sp. 142,1,1,1
Methanomassiliicoccus sp. P27,1,1,1
uncultured Acidimicrobium sp.,1,1,1
uncultured Aciditerrimonas sp.,1,1,1
uncultured Ferrimicrobium sp.,1,1,1
uncultured Ferrithrix sp.,1,1,1
uncultured Ilumatobacter sp.,1,1,1
Acidimicrobiaceae,1,1,1
Aquihabitans daechungensis,1,1,1
uncultured Iamia sp.,1,1,1
uncultured Candidatus Microthrix sp.,1,1,1
uncultured Acidothermus sp.,1,1,1
uncultured Actinomyces sp.,1,1,1
Actinocrinis puniceicyclus,1,1,1
Catenulispora,1,1,1
Catenulispora graminis,1,1,1
Mycobacterium,1,1,1
Mycobacterium sp. PSY065,1,1,1
uncultured Mycobacterium sp.,1,1,1
Corynebacteriales,1,1,1
Nocardiaceae,1,1,1
Nocardia,1,1,1
Rhodococcus,1,1,1
uncultured Rhodococcus sp.,1,1,1
uncultured Frankia sp.,1,1,1
Jatrophihabitans,1,1,1
Sporichthya,1,1,1
uncultured Sporichthya sp.,1,1,1
Blastococcus,1,1,1
Blastococcus sp. URHB0062,1,1,1
Blastococcus sp. URHD0003,1,1,1
Geodermatophilus,1,1,1
Geodermatophilus sp. Z2R53,1,1,1
Geodermatophilaceae,1,1,1
Angustibacter luteus,1,1,1
uncultured Kineococcus sp.,1,1,1
Kineosporia,1,1,1
uncultured Kineosporia sp.,1,1,1
Cellulomonas,1,1,1
Demequina sp. CMS382,1,1,1
uncultured Demequina sp.,1,1,1
Demequinaceae,1,1,1
Janibacter,1,1,1
uncultured Janibacter sp.,1,1,1
Intrasporangiaceae,1,1,1
Oryzihumus,1,1,1
Agromyces,1,1,1
Clavibacter,1,1,1
Frigoribacterium sp. B1-25c-3,1,1,1
Humibacter sp. Po15c,1,1,1
Leifsonia,1,1,1
Leifsonia sp. A5AGK,1,1,1
Microbacterium,1,1,1
Microbacteriaceae,1,1,1
Rathayibacter,1,1,1
Salinibacterium sp. CC13L1,1,1,1
Arthrobacter,1,1,1
Micrococcaceae,1,1,1
uncultured Sinomonas sp.,1,1,1
Sanguibacter,1,1,1
uncultured Actinocatenispora sp.,1,1,1
Actinoplanes,1,1,1
Actinoplanes sp. IR51-RC111,1,1,1
uncultured Actinoplanes sp.,1,1,1
Catellatospora sp. KC-EP-S6,1,1,1
Dactylosporangium,1,1,1
uncultured Dactylosporangium sp.,1,1,1
Luedemannella sp. 119-1-07,1,1,1
uncultured Micromonospora sp.,1,1,1
Micromonosporaceae,1,1,1
Actinobacteria,1,1,1
Nakamurella,1,1,1
Nakamurella sp. A24MTO,1,1,1
Aeromicrobium panaciterrae,1,1,1
Aeromicrobium sp. HJX17,1,1,1
Aeromicrobium sp. RODSPM17,1,1,1
Kribbella,1,1,1
Kribbella sp. enrichment culture clone VanCtr42,1,1,1
Marmoricola,1,1,1
uncultured Marmoricola sp.,1,1,1
Nocardioidaceae,1,1,1
Nocardioides,1,1,1
Nocardioides sp.,1,1,1
Nocardioides sp. MSL 24,1,1,1
Nocardioides sp. RW28,1,1,1
Nocardioides sp. SSRB28-7,1,1,1
uncultured Nocardioides sp.,1,1,1
uncultured Microlunatus sp.,1,1,1
Amycolatopsis tolypomycina,1,1,1
Kutzneria,1,1,1
uncultured Lentzea sp.,1,1,1
Pseudonocardiaceae,1,1,1
Pseudonocardia,1,1,1
uncultured Pseudonocardia sp.,1,1,1
Streptomycetaceae,1,1,1
Streptacidiphilus alcalitolerans,1,1,1
Streptomyces,1,1,1
Streptomyces abietis,1,1,1
Streptomyces sp. PanSC6,1,1,1
uncultured Streptomyces sp.,1,1,1
Nonomuraea,1,1,1
Streptosporangium,1,1,1
uncultured Actinoallomurus sp.,1,1,1
Actinomadura sp. 1g12710,1,1,1
Brevundimonas,1,1,1
Caulobacter,1,1,1
Caulobacter fusiformis,1,1,1
Caulobacter profundus,1,1,1
uncultured Caulobacter sp.,1,1,1
Caulobacteraceae,1,1,1
Phenylobacterium,1,1,1
Phenylobacterium lituiforme,1,1,1
Phenylobacterium sp. B6.10-61,1,1,1
Phenylobacterium sp. enrichment culture clone LplF-80,1,1,1
Phenylobacterium sp. URHA0004,1,1,1
uncultured Phenylobacterium sp.,1,1,1
uncultured Woodsholea sp.,1,1,1
Rhizomicrobium,1,1,1
Rhizomicrobium sp. URHE0053,1,1,1
uncultured Rhizomicrobium sp.,1,1,1
Alphaproteobacteria,1,1,1
Martelella endophytica,1,1,1
uncultured Methylocapsa sp.,1,1,1
uncultured Methylocella sp.,1,1,1
Bradyrhizobium,1,1,1
Bradyrhizobium sp. Shinshu-th2,1,1,1
Bradyrhizobium sp. URHC0015,1,1,1
uncultured Bradyrhizobium sp.,1,1,1
Bradyrhizobiaceae,1,1,1
uncultured Rhodopseudomonas sp.,1,1,1
Variibacter gotjawalensis,1,1,1
Mycoplana sp. HP12Q,1,1,1
Ochrobactrum anthropi,1,1,1
uncultured Blastochloris sp.,1,1,1
Devosia,1,1,1
Devosia sp. P-37,1,1,1
Hyphomicrobium,1,1,1
uncultured Hyphomicrobium sp.,1,1,1
Hyphomicrobiaceae,1,1,1
Pedomicrobium,1,1,1
uncultured Pedomicrobium sp.,1,1,1
uncultured Prosthecomicrobium sp.,1,1,1
Rhodomicrobium,1,1,1
uncultured Rhodomicrobium sp.,1,1,1
environmental samples,1,1,1
Rhodoplanes sp. Z2-YC6860,1,1,1
uncultured Rhodoplanes sp.,1,1,1
Methylobacterium,1,1,1
Microvirga,1,1,1
uncultured Microvirga sp.,1,1,1
Methylobacteriaceae,1,1,1
Methylosinus sporium,1,1,1
Methylosinus trichosporium,1,1,1
uncultured Methylosinus sp.,1,1,1
Methylocystaceae,1,1,1
uncultured Aminobacter sp.,1,1,1
Mesorhizobium,1,1,1
uncultured Mesorhizobium sp.,1,1,1
Phyllobacteriaceae,1,1,1
uncultured Nitratireductor sp.,1,1,1
Oricola cellulosilytica,1,1,1
Phyllobacterium,1,1,1
Rhizobiaceae,1,1,1
Rhizobium/Agrobacterium group,1,1,1
Rhizobium,1,1,1
uncultured Rhizobium sp.,1,1,1
uncultured Rhodobium sp.,1,1,1
Roseiarcus fermentans,1,1,1
Labrys,1,1,1
uncultured Pseudolabrys sp.,1,1,1
Rhodobacteraceae,1,1,1
uncultured Acidisphaera sp.,1,1,1
Acetobacteraceae,1,1,1
Rhodopila globiformis,1,1,1
uncultured Stella sp.,1,1,1
Azospirillum sp. T2-YC6788,1,1,1
Dechlorospirillum sp. SN1,1,1,1
Dongia,1,1,1
Dongia sp. CB 286422,1,1,1
uncultured Dongia sp.,1,1,1
Rhodospirillaceae,1,1,1
uncultured Skermanella sp.,1,1,1
Altererythrobacter,1,1,1
Altererythrobacter buctense,1,1,1
Altererythrobacter sp. 100921-2,1,1,1
uncultured Altererythrobacter sp.,1,1,1
uncultured Erythrobacter sp.,1,1,1
Erythrobacteraceae,1,1,1
Porphyrobacter,1,1,1
Sphingomonadales,1,1,1
Sphingomonadaceae,1,1,1
Novosphingobium,1,1,1
Novosphingobium sp.,1,1,1
uncultured Novosphingobium sp.,1,1,1
Sphingobium olei,1,1,1
uncultured Sphingobium sp.,1,1,1
Sphingomonas,1,1,1
Sphingomonas changbaiensis,1,1,1
Sphingomonas fennica,1,1,1
Sphingomonas sp. 52NP12,1,1,1
Sphingomonas sp. C0503,1,1,1
Sphingomonas sp. DB-II-12,1,1,1
Sphingomonas sp. LP105,1,1,1
Sphingomonas sp. ML1,1,1,1
Sphingomonas sp. NCCP-1295,1,1,1
Sphingomonas sp. THG-DN7.10,1,1,1
uncultured Sphingomonas sp.,1,1,1
Sphingorhabdus,1,1,1
Sphingosinicella sp. YJ22,1,1,1
uncultured Sphingosinicella sp.,1,1,1
uncultured Bellilinea sp.,1,1,1
uncultured Levilinea sp.,1,1,1
uncultured Longilinea sp.,1,1,1
Bacillus,1,1,1
uncultured Bacillus sp.,1,1,1
Bacillaceae,1,1,1
Bacillales,1,1,1
Paenibacillus,1,1,1
uncultured Saccharibacillus sp.,1,1,1
uncultured Pasteuria sp.,1,1,1
Planococcaceae,1,1,1
Staphylococcus,1,1,1
uncultured Thermoflavimicrobium sp.,1,1,1
uncultured Bacteroides sp.,1,1,1
uncultured Derxia sp.,1,1,1
Burkholderia,1,1,1
Burkholderia cepacia,1,1,1
uncultured Burkholderia sp.,1,1,1
uncultured Cupriavidus sp.,1,1,1
Burkholderiaceae,1,1,1
Paucimonas lemoignei,1,1,1
Ralstonia solanacearum,1,1,1
Ralstonia sp. JOS55-1,1,1,1
uncultured Acidovorax sp.,1,1,1
Caenimonas sp. TSX9-5,1,1,1
uncultured Comamonas sp.,1,1,1
uncultured Curvibacter sp.,1,1,1
Delftia,1,1,1
Diaphorobacter sp. NPG-14,1,1,1
Hydrogenophaga,1,1,1
uncultured Hydrogenophaga sp.,1,1,1
Comamonadaceae,1,1,1
Pelomonas sp. CR2,1,1,1
Pelomonas sp. K89,1,1,1
uncultured Polaromonas sp.,1,1,1
Rhodoferax,1,1,1
uncultured Rhodoferax sp.,1,1,1
Variovorax,1,1,1
Burkholderiales,1,1,1
Duganella,1,1,1
Duganella sp. 2M1lan,1,1,1
Duganella sp. JPPB B33,1,1,1
Herbaspirillum,1,1,1
uncultured Herbaspirillum sp.,1,1,1
uncultured Herminiimonas sp.,1,1,1
Janthinobacterium,1,1,1
Massilia,1,1,1
uncultured Massilia sp.,1,1,1
Oxalobacteraceae,1,1,1
Undibacterium,1,1,1
uncultured Thiobacillus sp.,1,1,1
uncultured Methylobacillus sp.,1,1,1
uncultured Methylophilus sp.,1,1,1
Methylophilaceae,1,1,1
Betaproteobacteria,1,1,1
uncultured Nitrosospira sp.,1,1,1
Dechloromonas,1,1,1
uncultured Denitratisoma sp.,1,1,1
uncultured Ferribacterium sp.,1,1,1
Georgfuchsia toluolica,1,1,1
uncultured Georgfuchsia sp.,1,1,1
Rhodocyclaceae,1,1,1
uncultured Propionivibrio sp.,1,1,1
uncultured Sterolibacterium sp.,1,1,1
uncultured Caldilinea sp.,1,1,1
Chitinophaga,1,1,1
Chitinophaga oryziterrae,1,1,1
Chitinophaga pinensis,1,1,1
Chitinophaga sp. BN130233,1,1,1
uncultured Chitinophaga sp.,1,1,1
Ferruginibacter,1,1,1
Ferruginibacter paludis,1,1,1
Ferruginibacter sp. WF24,1,1,1
uncultured Ferruginibacter sp.,1,1,1
Flavisolibacter,1,1,1
Flavisolibacter rigui,1,1,1
Flavosolibacter sp. HU1-JC5,1,1,1
uncultured Flavisolibacter sp.,1,1,1
uncultured Lacibacter sp.,1,1,1
Chitinophagaceae,1,1,1
Niastella,1,1,1
uncultured Niastella sp.,1,1,1
Panacibacter ginsenosidivorans,1,1,1
Parafilimonas terrae,1,1,1
Sediminibacterium,1,1,1
Sediminibacterium aquarii,1,1,1
Segetibacter,1,1,1
uncultured Segetibacter sp.,1,1,1
Terrimonas,1,1,1
Terrimonas arctica,1,1,1
Terrimonas sp. URHE0054,1,1,1
uncultured Terrimonas sp.,1,1,1
Chitinophagales,1,1,1
uncultured Haliscomenobacter sp.,1,1,1
uncultured Chloroflexus sp.,1,1,1
uncultured Roseiflexus sp.,1,1,1
Clostridium,1,1,1
uncultured Thermaerobacter sp.,1,1,1
uncultured Desulfitobacterium sp.,1,1,1
uncultured Moorella sp.,1,1,1
uncultured Thermoanaerobacter sp.,1,1,1
uncultured Candidatus Nephrothrix sp.,1,1,1
Cytophaga hutchinsonii,1,1,1
uncultured Cytophaga sp.,1,1,1
Dyadobacter,1,1,1
Emticicia sp. KJ033,1,1,1
Fibrella sp.,1,1,1
uncultured Flexibacter sp.,1,1,1
Cytophagaceae,1,1,1
uncultured Ohtaekwangia sp.,1,1,1
Adhaeribacter,1,1,1
uncultured Adhaeribacter sp.,1,1,1
Pontibacter,1,1,1
Pontibacter sp. LX8,1,1,1
uncultured Dehalococcoides sp.,1,1,1
Bacteriovorax sp. PNEc1,1,1,1
Bdellovibrio,1,1,1
Bdellovibrio exovorus,1,1,1
Bdellovibrio exovorus JSS,1,1,1
uncultured Bdellovibrio sp.,1,1,1
Bdellovibrionales,1,1,1
uncultured Desulfotalea sp.,1,1,1
uncultured Desulfovibrio sp.,1,1,1
Desulfuromonas,1,1,1
uncultured Desulfuromonas sp.,1,1,1
uncultured Malonomonas sp.,1,1,1
Desulfuromonadaceae,1,1,1
Pelobacter,1,1,1
uncultured Pelobacter sp.,1,1,1
uncultured Geoalkalibacter sp.,1,1,1
Geobacter,1,1,1
Geobacter anodireducens,1,1,1
Geobacter sp. enrichment culture clone VanCtr1,1,1,1
uncultured Geobacter sp.,1,1,1
uncultured Geothermobacter sp.,1,1,1
Anaeromyxobacter,1,1,1
uncultured Anaeromyxobacter sp.,1,1,1
uncultured Cystobacter sp.,1,1,1
Archangiaceae,1,1,1
Stigmatella,1,1,1
uncultured Haliangium sp.,1,1,1
uncultured Kofleria sp.,1,1,1
Aggregicoccus edonensis,1,1,1
Myxococcaceae,1,1,1
Cystobacterineae,1,1,1
Myxococcales,1,1,1
Sorangiineae,1,1,1
uncultured Nannocystis sp.,1,1,1
uncultured Phaselicystis sp.,1,1,1
Aetherobacter,1,1,1
uncultured Byssovorax sp.,1,1,1
uncultured Chondromyces sp.,1,1,1
Polyangiaceae,1,1,1
uncultured Polyangium sp.,1,1,1
Sorangium cellulosum,1,1,1
Vulgatibacter incomptus,1,1,1
Deltaproteobacteria,1,1,1
uncultured Syntrophus sp.,1,1,1
uncultured Desulfovirga sp.,1,1,1
uncultured Syntrophobacter sp.,1,1,1
uncultured Crocinitomix sp.,1,1,1
Fluviicola,1,1,1
Fluviicola sp. YS 1.2.4,1,1,1
uncultured Fluviicola sp.,1,1,1
uncultured Lishizhenia sp.,1,1,1
Chryseobacterium,1,1,1
Flavobacterium,1,1,1
Flavobacterium hydatis,1,1,1
Flavobacterium sp. BF134,1,1,1
Flavobacterium sp. HL-17,1,1,1
Flavobacterium sp. PDD-32b-56,1,1,1
Flavobacterium sp. R-38392,1,1,1
uncultured Flavobacterium sp.,1,1,1
Flavobacteriaceae,1,1,1
Ktedonobacter sp. enrichment culture clone CTBE CDB1001H01,1,1,1
uncultured Ktedonobacter sp.,1,1,1
uncultured Rhodothermus sp.,1,1,1
Bacteroidetes,1,1,1
Chloroflexi,1,1,1
Verrucomicrobia,1,1,1
Cephaloticoccus,1,1,1
Opitutaceae,1,1,1
Opitutus,1,1,1
uncultured Opitutus sp.,1,1,1
Gaiella,1,1,1
Gaiella occulta,1,1,1
uncultured Gaiella sp.,1,1,1
uncultured Rubrobacter sp.,1,1,1
Chthoniobacter flavus,1,1,1
Mucilaginibacter,1,1,1
Mucilaginibacter sp. HME7565,1,1,1
Mucilaginibacter sp. UA-VH0703,1,1,1
uncultured Mucilaginibacter sp.,1,1,1
Sphingobacteriaceae,1,1,1
Pedobacter,1,1,1
Pedobacter luteus,1,1,1
Pedobacter sp. FGR-05,1,1,1
uncultured Pedobacter sp.,1,1,1
Solitalea,1,1,1
uncultured Solitalea sp.,1,1,1
Sphingobacterium,1,1,1
Sphingobacterium sp. P-7,1,1,1
Conexibacter,1,1,1
uncultured Conexibacter sp.,1,1,1
Solirubrobacterales,1,1,1
Solirubrobacter,1,1,1
uncultured Solirubrobacter sp.,1,1,1
uncultured Thermoleophilum sp.,1,1,1
uncultured Sphaerobacter sp.,1,1,1
Pedosphaera parvula Ellin514,1,1,1
uncultured Pedosphaera sp.,1,1,1
uncultured Luteolibacter sp.,1,1,1
Verrucomicrobiaceae,1,1,1
uncultured Prosthecobacter sp.,1,1,1
uncultured Verrucomicrobium sp.,1,1,1
Basidiobolus,1,1,1
Cryptococcus amylolentus,1,1,1
Tyrophagus,1,1,0
Histiostoma feroniarum,1,1,0
Choleva angustata,1,1,0
Lonchoptera lutea,1,1,0
Eosentomon sp. FNSA-2002,1,1,0
Protura,1,1,0
Ditylenchus dipsaci,0,1,1
Anguininae,0,1,1
Aphelenchus,0,1,1
Aphelenchus avenae,0,1,1
Seinura demani,0,1,1
Aphelenchoides,0,1,1
Aphelenchoides sp. 2137,0,1,1
Pseudaphelenchus,0,1,1
Tylencholaimus sp. PDL-2005,0,1,1
Mykophagophrys terricola,0,1,1
Pseudoplatyophrya nana,0,1,1
Allolobophora chlorotica,0,1,1
Aporrectodea,0,1,1
Aporrectodea caliginosa,0,1,1
Aporrectodea longa,0,1,1
Aporrectodea rosea,0,1,1
NA,0,1,1
Octolasion,0,1,1
Octolasion cyaneum,0,1,1
Hyphochytrium catenoides,1,1,1
Woronina pythii,1,1,1
Psathyrella sp. D16,1,1,0
Serpula incrassata,1,1,0
Hymenochaetopsis olivacea,1,1,0
Trechispora farinacea,1,1,0
Guepiniopsis buccina,1,1,0
Bisporella citrina,1,1,1
Orbicula parietina,1,1,0
Cryphonectria parasitica,1,1,0
Bos taurus,1,0,0
Acidobacterium,1,1,1
Acidobacterium sp. pan6,1,1,1
uncultured Acidobacterium sp.,1,1,1
uncultured Acidobacterium UA3,1,1,1
Candidatus Koribacter versatilis Ellin345,1,1,1
uncultured Candidatus Koribacter sp.,1,1,1
Edaphobacter,1,1,1
Edaphobacter dinghuensis,1,1,1
uncultured Edaphobacter sp.,1,1,1
Granulicella paludicola,1,1,1
Acidobacteriaceae,1,1,1
Occallatibacter riparius,1,1,1
Terracidiphilus gabretensis,1,1,1
uncultured Terriglobus sp.,1,1,1
Gemmatimonas,1,1,1
uncultured Gemmatimonas sp.,1,1,1
Gemmatimonadaceae,1,1,1
Geothrix,1,1,1
Holophaga sp. oral clone CA002,1,1,1
uncultured Holophaga sp.,1,1,1
Acidobacteria,1,1,1
Gemmatimonadetes,1,1,1
Phycisphaera mikurensis NBRC 102666,1,1,1
Tepidisphaera mucosa,1,1,1
Gemmata,1,1,1
Gemmata obscuriglobus,1,1,1
Gemmata sp. Fl1-1,1,1,1
uncultured Gemmata sp.,1,1,1
uncultured Zavarzinella sp.,1,1,1
uncultured Isosphaera sp.,1,1,1
Isosphaeraceae,1,1,1
Singulisphaera rosea,1,1,1
uncultured Singulisphaera sp.,1,1,1
Planctomycetaceae,1,1,1
Pirellula sp.,1,1,1
Pirellula staleyi,1,1,1
uncultured Pirellula sp.,1,1,1
Planctomyces,1,1,1
Planctomyces sp.,1,1,1
uncultured Planctomyces sp.,1,1,1
uncultured Rhodopirellula sp.,1,1,1
Candidatus Solibacter,1,1,1
Candidatus Solibacter usitatus,1,1,1
Candidatus Solibacter usitatus Ellin6076,1,1,1
uncultured Candidatus Solibacter sp.,1,1,1
uncultured Solibacter sp.,1,1,1
Alicorhagia,1,1,0
Stigmalychus sp. AD1318,1,1,0
Sarcoptiformes,1,1,0
Forficula auricularia,1,1,0
Tachyporus hypnorum,1,1,0
auricularia species complex,1,1,0
Forficula,1,1,0
Forficula sp. NC-1995,1,1,0
Myrmica scabrinodis,1,1,0
Mesodorylaimus cf. nigritulus AV-2005,0,1,1
Dorylaimina,0,1,1
Dorylaimoidea,0,1,1
Pungentinae,0,1,1
Pungentus,0,1,1
Pungentus sp. PDL-2005,0,1,1
Discolaimus cf. major HHBM-2007a,0,1,1
Ecumenicus,0,1,1
Qudsianematidae,0,1,1
Prodorylaimus sp. HHBM-2007a,0,1,1
Dorylaimia,0,1,1
Tripyla,0,1,1
Hypsibius,0,1,1
Hypsibius convergens,1,1,0
Uropoda orbicularis,1,1,0
Acidiferrobacteraceae,1,1,1
Cellvibrio,1,1,1
uncultured Saccharophagus sp.,1,1,1
uncultured Haliea sp.,1,1,1
uncultured Nitrosococcus sp.,1,1,1
uncultured Thiohalospira sp.,1,1,1
uncultured Thiorhodospira sp.,1,1,1
Chromatiales,1,1,1
Enterobacteriaceae,1,1,1
Enterobacterales,1,1,1
Rickettsiella,1,1,1
Legionella,1,1,1
Legionella lytica,1,1,1
uncultured Legionella sp.,1,1,1
Gammaproteobacteria,1,1,1
